bylaw_id,street_name,extents,confidence,notice
6527,Glenallan Road,Strathgowan Avenue and Glengowan Road,No Match,btwn1: Strathgowan Ave btwn2: Glengowan Rd highway2: Glenallan Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13454848 oid2: 
6617,Caribou Road (south leg),"Bathurst Street and the easterly end of Caribou Road (south leg), east of Ledbury Street (south intersection)",No Match,"btwn1: Bathurst St btwn2: the easterly end of Caribou Rd , east of Ledbury St highway2: Caribou Rd  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13455397 oid2: "
6654,Roselawn Avenue,Roselawn Avenue and Lytton Boulevard,No Match,btwn1: Roselawn Ave btwn2: Lytton Blvd highway2: Roselawn Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 14037366 oid2: 
331,Bemersyde Drive,Eglinton Avenue,No Match,btwn1: Eglinton Ave btwn2:  highway2: Bemersyde Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13462409 oid2: 
362,Berry Road,The west end of Berry Road and Stonegate Road,No Match,btwn1: Berry Rd btwn2: Stonegate Rd highway2: Berry Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13468569 oid2: 
385,Bigham Crescent,Elmbrook Crescent (east intersection) and Elmbrook Crescent (west intersection),Very High (100% match),btwn1: Elmbrook Cres  btwn2: Elmbrook Cres highway2: Bigham Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13465337 oid2: 13465207
4516,Nursewood Road,Queen Street East and the south end of Nursewood Road,Very High (100% match),btwn1: Queen St E btwn2: Nursewood Rd highway2: Nursewood Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13462570 oid2: 13462585
85,Amelia Street,Parliament Street and the easterly end of Amelia Street,No Match,btwn1: Parliament St btwn2: the easterly end of Amelia St highway2: Amelia St metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13463916 oid2: 
215,Bannon Avenue,Kingsway Crescent and West limit of Bannon Road,Low (5 character difference),btwn1: Kingsway Cres btwn2: West limit of Bannon Rd highway2: Bannon Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13465607 oid2: 13464049
297,Beechborough Avenue,Strathnairn Avenue and Castlefield Avenue,No Match,btwn1: Strathnairn Ave btwn2: Castlefield Ave highway2: Beechborough Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13459118 oid2: 
323,Belshaw Place,Dundas Street East and the west end of Belshaw Place,Very High (100% match),btwn1: Dundas St E btwn2: Belshaw Pl highway2: Belshaw Pl metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13464989 oid2: 30088490
415,Blair Athol Crescent,Prince George Drive and Abilene Drive,Very High (100% match),btwn1: Prince George Dr btwn2: Abilene Dr highway2: Blair Athol Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13464228 oid2: 13464007
409,Blacksmith Crescent,Gosford Boulevard (north intersection) and Gosford Boulevard (south intersection),Very High (100% match),btwn1: Gosford Blvd  btwn2: Gosford Blvd highway2: Blacksmith Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13447519 oid2: 13447392
1088,Don Valley Parkway/Bayview-Bloor Ramp,Drumsnab Road and a point approximately 440 metres east/north (to the on-ramp for southbound Bayview Avenue),No Match,btwn1: Drumsnab Rd btwn2: Drumsnab Rd highway2: Don Valley Pkwy/Bayview-Bloor Ramp metres_btwn1:  metres_btwn2: 440 direction_btwn1:  direction_btwn2: northeast  oid1:  oid2: 
1082,Don Valley Parkway (northbound and southbound),Frederick G. Gardiner Expressway and Highway 404,No Match,btwn1: Frederick G. Gardiner Expressway btwn2: Highway 404 highway2: Don Valley Pkwy  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
1081,Don Valley Parkway (northbound and southbound),Frederick G. Gardiner Expressway and Highway 404,No Match,btwn1: Frederick G. Gardiner Expressway btwn2: Highway 404 highway2: Don Valley Pkwy  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
1083,Don Valley Parkway Northbound Off-Ramp,"Don Valley Parkway northbound and a point 1,040 metres east/north of Drumsnab Road",No Match,btwn1: Don Valley Pkwy northbound btwn2: Drumsnab Rd highway2: Don Valley Pkwy Northbound Off-Ramp metres_btwn1:  metres_btwn2: 1040 direction_btwn1:  direction_btwn2: northeast oid1:  oid2: 
1084,Don Valley Parkway Northbound On-Ramp,"A point 1,040 metres east/north of Drumsnab Road and the Don Valley Parkway northbound",No Match,"btwn1:  1,040 m east btwn2: the Don Valley Pkwy northbound highway2: Don Valley Pkwy Northbound On-Ramp metres_btwn1: 1040 metres_btwn2:  direction_btwn1: northeast direction_btwn2:  oid1:  oid2: "
1085,Don Valley Parkway Southbound Off-Ramp,"Don Valley Parkway southbound and a point 1,040 metres east/north of Drumsnab Road",No Match,btwn1: Don Valley Pkwy southbound btwn2: Drumsnab Rd highway2: Don Valley Pkwy Southbound Off-Ramp metres_btwn1:  metres_btwn2: 1040 direction_btwn1:  direction_btwn2: northeast oid1:  oid2: 
1086,Don Valley Parkway Southbound On-Ramp,"A point 1,040 metres east/north of Drumsnab Road and the Don Valley Parkway soutbound",No Match,"btwn1:  1,040 m east btwn2: the Don Valley Pkwy soutbound highway2: Don Valley Pkwy Southbound On-Ramp metres_btwn1: 1040 metres_btwn2:  direction_btwn1: northeast direction_btwn2:  oid1:  oid2: "
1087,Don Valley Parkway/Bayview-Bloor Ramp,A point approximately 440 metres east/north of Drumsnab Road (the on-ramp for southbound Bayview Avenue) and a point approximately 600 metres further east,No Match,btwn1:   440 m east btwn2: 440 m east highway2: Don Valley Pkwy/Bayview-Bloor Ramp metres_btwn1: 440 metres_btwn2: 600 direction_btwn1: northeast direction_btwn2: east oid1:  oid2: 
1092,Doncliffe Drive,Doncliffe Place (south intersection) and Mount Pleasant Road,No Match,btwn1: Doncliffe Pl  btwn2: Mount Pleasant Rd highway2: Doncliffe Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
1691,Graystone Gardens,Islington Avenue and west limit of road,No Match,btwn1: Islington Ave btwn2: west limit of road highway2: Graystone Gdns metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13468331 oid2: 
5601,Ardwold Gate,The southwest end of Ardwold Gate and Spadina Road,Very High (100% match),btwn1: Ardwold Gt btwn2: Spadina Rd highway2: Ardwold Gt metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13461984 oid2: 13461714
499,Breezewood Drive,The west end of Breezewood Dive and Ivy Lea Crescent,No Match,btwn1: Breezewood Dive btwn2: Ivy Lea Cres highway2: Breezewood Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
5703,Ridge Drive Park,Ridge Drive and the north end of Ridge Drive Park,Low (6 character difference),btwn1: Ridge Dr btwn2: Ridge Dr Pk highway2: Ridge Dr Pk metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13460702 oid2: 13460503
537,Broadlands Boulevard,Shaunavon Heights Crescents (east intersection) and Mewata Gate,No Match,btwn1: Shaunavon Heights Crescents  btwn2: Mewata Gt highway2: Broadlands Blvd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
945,Cuffley Crescent South,Keelegate Drive (west intersection) and Tilbury Drive,No Match,btwn1: Keelegate Dr  btwn2: Tilbury Dr highway2: Cuffley Crescent S metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
776,Christina Crescent,Pharmacy Avenue (south intersection) and Pharmacy Avenue (north intersection),Very High (100% match),btwn1: Pharmacy Ave  btwn2: Pharmacy Ave highway2: Christina Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13448600 oid2: 13448499
652,Cannes Circle,Symes Road (north intersection) and Symes Road (south intersection),Very High (100% match),btwn1: Symes Rd  btwn2: Symes Rd highway2: Cannes Crcl metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 14172242 oid2: 14172241
2774,Old Burnhamthorpe Road,Burnhamthorpe Road (east intersection) and Burnhamthorpe Road (west intersection),Very High (100% match),btwn1: Burnhamthorpe Rd  btwn2: Burnhamthorpe Rd highway2: Old Burnhamthorpe Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13468164 oid2: 13468183
726,Chadburn Road,Cloverhill Road and Cannon Road,No Match,btwn1: Cloverhill Rd btwn2: Cannon Rd highway2: Chadburn Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
737,Charleswood Drive,King High Avenue and Bathurst Street,No Match,btwn1: King High Ave btwn2: Bathurst St highway2: Charleswood Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
747,Chelsea Avenue,Indian Road Crescent and Dundas Street West ,No Match,btwn1: Indian Road Cres btwn2: Dundas St W highway2: Chelsea Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
850,Colonel Samuel Smith Park Drive,Lake Shore Boulevard West and the south side of Colonel Samuel Smith Park Drive,No Match,btwn1: Lake Shore Blvd W btwn2: the south side of Colonel Samuel Smith Park Dr highway2: Colonel Samuel Smith Park Dr metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13470536 oid2: 
886,Cortland Avenue,Cheritan Avenue and north end of Cortland Avenue,No Match,btwn1: Cheritan Ave btwn2: north end of Cortland Ave highway2: Cortland Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13454529 oid2: 
941,Crossen Drive,A point 15 metres south of Pleasant Avenue and a point 15 metres west Hilda Avenue,Very High (100% match),btwn1:  Pleasant Ave btwn2: Pleasant Ave highway2: Crossen Dr metres_btwn1: 15 metres_btwn2: 15 direction_btwn1: south direction_btwn2: west Hilda Ave oid1: 13444784 oid2: 13444784
964,Dalesford Road,Royal York Road and Brussels Street,No Match,btwn1: Royal York Rd btwn2: Brussels St highway2: Dalesford Rd metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13469614 oid2: 
967,Dallimore Circle,Green Belt Drive and the east side of Dallimore Circle,No Match,btwn1: Green Belt Dr btwn2: the east side of Dallimore Crcl highway2: Dallimore Crcl metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 14247243 oid2: 
1886,Highway 27,The northerly limit of the Highway 401 overpass and Belfield Road,No Match,btwn1: the Highway 401 overpass btwn2: Belfield Rd highway2: Highway 27 metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
1887,Highway 2A,"The westerly limit of the Highway 401 overpass and a point approximately 2,150 metres west",No Match,btwn1: the Highway 401 overpass btwn2: the Highway 401 overpass highway2: Highway 2A metres_btwn1:  metres_btwn2: 2150 direction_btwn1:  direction_btwn2: west oid1:  oid2: 
4297,Aveline Crescent,Lynnbrook Drive (south intersection) and Lynnbrook Drive (north intersection),Very High (100% match),btwn1: Lynnbrook Dr  btwn2: Lynnbrook Dr highway2: Aveline Cres metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13447332 oid2: 13447265
1299,Erica Avenue,Palm Drive and the east end of Erica Drive,No Match,btwn1: Palm Dr btwn2: Erica Dr highway2: Erica Ave metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13451363 oid2: 
2476,Markland Drive (section south of Bloor Street West,Bloor Street West (east intersection) and Bloor Street West (west intersection),No Match,btwn1: Bloor St W  btwn2: Bloor St W highway2: Markland Dr (section south of Bloor St W metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1: 13463436 oid2: 
4003,William R. Allen Road (southbound),A point 600 metres north of Eglinton Avenue West and Lawrence Avenue West,Medium (2 character difference),btwn1:  Eglinton Ave W btwn2: Lawrence Ave W highway2: William R. Allen Rd  metres_btwn1: 600 metres_btwn2:  direction_btwn1: north direction_btwn2:  oid1: 13457078 oid2: 13454250
1457,Frederick G. Gardiner Expressway (eastbound),A point 244 metres west of The South Kingsway and Lake Shore Boulevard East,No Match,btwn1:  The South Kingsway btwn2: Lake Shore Blvd E highway2: Frederick G. Gardiner Expressway  metres_btwn1: 244 metres_btwn2:  direction_btwn1: west direction_btwn2:  oid1:  oid2: 
1458,Frederick G. Gardiner Expressway (eastbound),Highway 427 and the Humber River,No Match,btwn1: Highway 427 btwn2: the Humber River highway2: Frederick G. Gardiner Expressway  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
1459,Frederick G. Gardiner Expressway (westbound),Highway 427 and the Humber River,No Match,btwn1: Highway 427 btwn2: the Humber River highway2: Frederick G. Gardiner Expressway  metres_btwn1:  metres_btwn2:  direction_btwn1:  direction_btwn2:  oid1:  oid2: 
