CoDHex,CoDBinary,DeviceType,DeviceExample,Confirmed,ConfirmedExample,MajorDeviceClass,ClassOfDevice
0x400210,10000000000001000000000,Wired modem or voice gateway,Unknown Voice Gateway,Yes,"00:07:88 - Clipcomm, Inc.",Phone,4194832
0x402204,10000000010001000000000,Cellular,Samsung Trender,Yes,"6C:83:36 - Samsung Electronics Co.,Ltd",Phone,4203012
0x41031c,10000010000001100000000,Fully available,Nonin 4100 Pulse Oximeter,Yes,"00:A0:96 - MITUMI ELECTRIC CO., LTD.",LAN / Network Access Point,4260636
0x422100,10000100010000100000000,none,MEDIC 4,Yes,"00:01:95 - Sena Technologies, Inc.",Computer,4333824
0x4a0100,10010100000000100000000,Uncategorized,Uncategorized,Yes,"00:17:F2 - Apple Computer, Inc.",Computer,4849920
0x4a0204,10010100000001000000000,Cellular,Motorola Cell Phone,Yes,00:26:BA - Motorola Mobile Devices,Phone,4850180
0x500204,10100000000001000000000,Cellular,Nokia 6600,Yes,00:0E:6D - Murata Manufacturing,Phone,5243396
0x50020c,10100000000001000000000,Smart phone,Nokia 3250,Yes,00:19:4F - Nokia Danmark A/S,Phone,5243404
0x520204,10100100000001000000000,Cellular,Nokia 2720a-2b,Yes,C0:38:F9 - Nokia Danmark A/S,Phone,5374468
0x520208,10100100000001000000000,Cordless,Samsung SGH-D357,Yes,"00:15:B9 - Samsung Electronics Co., Ltd.",Phone,5374472
0x52020c,10100100000001000000000,Palm sized PC/PDA,Pocket_PC,Yes,00:15:70 - Symbol Technologies Wholly owned Subsidiary of Motorola,Computer,5374476
0x52020c,10100100000001000000000,Smart phone,SGH-i607,Yes,"00:1B:98 - Samsung Electronics Co., Ltd.",Phone,5374476
0x522204,10100100010001000000000,Cellular,Samsung SPH-M450,Yes,"60:D0:A9 - Samsung Electronics Co., Ltd.",Phone,5382660
0x580204,10110000000001000000000,Cellular,SGH-A707,Yes,"00:18:AF - Samsung Electronics Co., Ltd.",Phone,5767684
0x58020c,10110000000001000000000,Smart phone,HUAWEI M860,Yes,"54:A5:1B - Huawei Device Co., Ltd",Phone,5767692
0x5a0100,10110100000000100000000,Uncategorized,Nokia N900,Yes,00:BD:3A - Nokia Corporation,Computer,5898496
0x5a0204,10110100000001000000000,Cellular,Motorola Phone,Yes,40:BA:61 - Arima Communications Corp.,Phone,5898756
0x5a0208,10110100000001000000000,Cordless,LG GT365,Yes,00:24:83 - LG Electronics,Phone,5898760
0x5a020c,10110100000001000000000,Smart phone,Nokia 5230,Yes,A0:4E:04 - Nokia Corporation,Phone,5898764
0x5a2204,10110100010001000000000,Cellular,Samsung SPH-M800,Yes,00:1F:CD - Samsung Electronics,Phone,5906948
0x5e0204,10111100000001000000000,Cellular,Unknown,Yes,"00:21:D1 - Samsung Electronics Co.,Ltd",Phone,6160900
0x62020c,11000100000001000000000,Smart phone,Blackberry 7130e,Yes,00:0F:86 - Research In Motion Limited,Phone,6423052
0x6a041c,11010100000010000000000,Portable Audio,iPad2,Yes,"70:DE:E2 - Apple, Inc.",Audio/Video,6947868
0x6e010c,11011100000000100000000,Laptop,Unknown,Yes,"08:ED:B9 - Hon Hai Precision Ind. Co.,Ltd.",Computer,7209228
0x70020c,11100000000001000000000,Smart phone,Unknown,Yes,40:6A:AB - Rim,Phone,7340556
0x700404,11100000000010000000000,Wearable Headset Device,Unknown AV Headset,Yes,"00:16:74 - EuroCB (Phils.), Inc.",Audio/Video,7341060
0x720204,11100100000001000000000,Cellular,Samsung SPH-M320,Yes,00:23:D7 - Samsung Electronics,Phone,7471620
0x72020c,11100100000001000000000,Smart phone,BlackBerry 8800,Yes,00:0F:86 - Research In Motion Limited,Phone,7471628
0x720408,11100100000010000000000,Hands-free Device,Magellan GPS,Yes,00:40:D0 - MITAC INTERNATIONAL CORP.,Audio/Video,7472136
0x722404,11100100010010000000000,Wearable Headset Device,Magellan GPS,Yes,00:40:D0 - Mitac International Corp.,Audio/Video,7480324
0x740408,11101000000010000000000,Hands-free Device,Eonon Car DVD Player,Yes,00:13:04 - Flaircomm Technologies Co. LTD,Audio/Video,7603208
0x760408,11101100000010000000000,Hands-free Device,Porsche PCM (Porsche Communication Management System),Yes,00:0E:9F - TEMIC SDS GmbH,Audio/Video,7734280
0x78020c,11110000000001000000000,Smart phone,Sidekick LX 2009,Yes,00:22:F3 - SHARP CORPORATION,Phone,7864844
0x7a010c,11110100000000100000000,Laptop,Laptop,Yes,"00:1F:E1 - Hon Hai Precision Ind. Co., Ltd.",Computer,7995660
0x7a020c,11110100000001000000000,Smart phone,iPhone 4S,Yes,"78:A3:E4 - Apple, Inc.",Phone,7995916
0x7e0104,11111100000000100000000,Desktop Workstation,Desktop PC,Yes,00:21:86 - USI,Computer,8257796
0x7e010c,11111100000000100000000,Laptop,HP Netbook,Yes,"00:22:43 - AzureWave Technologies, Inc.",Computer,8257804
0x920100,100100100000000000000000,Uncategorized,Mentor Ranger,Yes,00:0C:8E - Mentor Engineering Inc,Computer,9568512
0x9a0100,100110100000000000000000,Uncategorized,Uncategorized,Yes,00:09:DD - Mavin Technology Inc.,Computer,10092800
0x9a0114,100110100000000000000000,Palm sized PC/PDA,Samsung SGH-i907,Yes,00:23:39 - Samsung Electronics,Computer,10092820
0xb16404,101100010110010000000100,Wearable Headset Device,Unknown Wearable Bluetooth Headset,Yes,00:08:E0 - ATO Technology Ltd.,Audio/Video,11625476
0xb50404,101101010000010000000000,Wearable Headset Device,Unknown,Yes,00:08:E0 - ATO Technology Ltd.,Audio/Video,11863044
0xb56404,101101010110010000000000,Wearable Headset Device,Bluetooth Headset,Yes,00:08:E0 - ATO Technology Ltd.,Audio/Video,11887620
0xd20110,110100100000000000000000,Handheld PC/PDA,CE500 Core Mobile Data Terminal,Yes,00:24:23 - AzureWave Technologies (Shanghai) Inc.,Computer,13762832
0xf40404,111101000000010000000000,Hands-free Device,JVC Unit,Yes,"00:10:60 - BILLIONTON SYSTEMS, INC.",Audio/Video,15991812
0xf62404,111101100010010000000000,Wearable Headset Device,Unknown,Yes,00:08:E0 - ATO Technology Ltd.,Audio/Video,16131076
0xff0104,111111110000000000000000,Desktop Workstation,Windows Desktop Computer,Yes,"74:F0:6D - AzureWave Technologies, Inc.",Computer,16711940
0xff010c,111111110000000000000000,Laptop,Dell Intel Centrino,Yes,4C:EB:42 - Intel Corporate,Computer,16711948
